"#", "Date",    "Topic(s)", "Recording", "Remarks"
  1, "Jan 8",   "- Topic 0: Course Overview |eli| Topic 1: Forensics Intro", "`Link <https://www.youtube.com/watch?v=qNjRNWgm0MI>`__", ""
  2, "Jan 10",  "- Topic 1: Forensics Intro", "`Link <https://www.youtube.com/watch?v=K4cMCyLCz38>`__", ""
  3, "Jan 15",  "- Topic 1: Forensics Intro", "`Link <https://www.youtube.com/watch?v=MIVa4oly34g>`__", "Group formation due: Jan 16"
  4, "Jan 17",  "- Group Project Introduction |eli| Topic 1.5: Python for Forensics", "`Link <https://www.youtube.com/watch?v=2ktLzcMGDWc>`__", ""
  5, "Jan 22",  "- Topic 2: Evidence Acquisition", "`Link <https://www.youtube.com/watch?v=IAxtGfPsyPs>`__", ""
  6, "Jan 24",  "", "", ""
  7, "Jan 29",  "", "", ""
  8, "Jan 31",  "", "", ""
  9, "Feb 5",   "", "", ""
 10, "Feb 7",   "", "", ""
 11, "Feb 12",  "", "", ""
 12, "Feb 14",  "", "", ""
 13, "Feb 19",  "Guest speaker: Special Agent Erin Gibbs, FBI", "", ""
 14, "Feb 21",  "**Midterm Exam**", "", "Covers Lectures 1-13"
 15, "Feb 26",  "", "", ""
 16, "Feb 28",  "", ""
 "", "Mar 4-8", "**Spring Break!!**"
 17, "Mar 12",  "", "", ""
 18, "Mar 14",  "", ""
 19, "Mar 19",  "", ""
 20, "Mar 21",  "Guest speaker: Mike Lombardi, Mandiant", ""
 21, "Mar 26",  "", ""
 22, "Mar 28",  "", "", "Group Projects: Checkpoint Due"
 23, "Apr 2",   "", ""
 24, "Apr 4",   "", "", "Paper Reports Due"
 25, "Apr 9",   "Guest speaker: Jamie Winterton, ASU GSI", ""
 26, "Apr 11",  "Paper Presentations", ""
 27, "Apr 16",  "Paper Presentations", ""
 28, "Apr 18",  "Paper Presentations", ""
 29, "Apr 23",  "Paper Presentations", ""
 30, "Apr 25",  "Semester Review", "", "Group Projects Due"
 31, "Apr 30",  "**Final Exam**", "", "*Cumulative* |br| 2:30 - 4:20 PM in BYAC 150 |br| (`scheduled by ASU <Final Exam_>`_)"
